TRADE_DATE,MARKET,LEVEL,SLOPE_1Y,SLOPE_3Y,CURVATURE,RANGE,REGIME
2026-05-11,THE,35.76139583333333,-9.507060000000003,-22.44752,0.15928000000000253,23.22416,Backwardation
2026-05-11,JKM,12.658593888888888,-5.039289999999999,-9.106689999999999,1.0815450000000002,9.13575,Backwardation
2026-05-11,TTF,34.10035805555556,-10.777059999999999,-23.63752,0.8052149999999969,23.662520000000004,Backwardation
2026-05-08,JKM,12.320946944444442,-4.636779999999998,-8.37769,1.0101849999999999,8.407580000000001,Backwardation
2026-05-08,THE,34.82560027777778,-8.395789999999998,-20.4036,-0.03504500000000377,21.170489999999997,Backwardation
2026-05-08,TTF,33.15678277777777,-9.615789999999997,-21.5536,0.5915799999999933,21.5836,Backwardation
2026-05-07,TTF,33.08679444444444,-9.414660000000005,-21.162490000000002,0.5726000000000084,21.19749,Backwardation
2026-05-07,JKM,12.294195833333335,-4.5132400000000015,-8.186520000000002,0.9775749999999999,8.29309,Backwardation
2026-05-07,THE,34.77045000000001,-8.214660000000002,-20.037490000000002,-0.033799999999999386,20.833609999999997,Backwardation
2026-05-06,THE,34.81637361111112,-8.535350000000001,-20.2404,0.08867999999999654,20.912509999999997,Backwardation
2026-05-06,JKM,12.299741944444444,-4.66963,-8.29869,1.0390999999999995,8.31306,Backwardation
2026-05-06,TTF,33.118976666666676,-9.660349999999994,-21.290399999999998,0.6453799999999958,21.290399999999998,Backwardation
2026-05-05,TTF,34.47219527777778,-11.19874,-24.27381,0.775739999999999,24.353039999999996,Backwardation
2026-05-05,THE,36.17585,-10.00374,-23.02881,0.20969000000000193,23.847790000000003,Backwardation
2026-05-05,JKM,12.704896388888889,-5.18768,-9.30494,1.081475000000001,9.30494,Backwardation
2026-05-04,JKM,12.492613611111114,-4.809240000000001,-8.61819,1.016790000000002,8.67415,Backwardation
2026-05-04,THE,35.615294166666665,-9.174909999999997,-21.31512,0.1672099999999972,22.237270000000002,Backwardation
2026-05-04,TTF,33.88685388888889,-10.299910000000004,-22.49012,0.6857150000000019,22.595119999999998,Backwardation
2026-05-01,TTF,33.88685388888889,-10.299910000000004,-22.49012,0.6857150000000019,22.595119999999998,Backwardation
2026-05-01,THE,35.615294166666665,-9.174909999999997,-21.31512,0.1672099999999972,22.237270000000002,Backwardation
2026-05-01,JKM,12.55783138888889,-4.823830000000001,-8.660300000000001,1.0143750000000011,8.71673,Backwardation
2026-04-30,THE,36.43109694444444,-7.171999999999997,-21.12032,-1.1279650000000032,22.140930000000004,Backwardation
2026-04-30,TTF,34.763719632500006,-8.361996769999998,-22.38531677,-0.5564366150000026,22.532619999999998,Backwardation
2026-04-30,JKM,12.84239611111111,-3.578289999999999,-8.128439999999998,0.2568249999999992,8.67559,Backwardation
2026-04-29,THE,37.087445833333334,-7.680520000000001,-22.258680000000002,-0.964224999999999,23.06844,Backwardation
2026-04-29,JKM,13.00588638888889,-3.726559999999999,-8.49153,0.3018649999999994,9.031999999999998,Backwardation
2026-04-29,TTF,35.41448666666667,-8.805519999999994,-23.458679999999998,-0.42616500000000457,23.4778,Backwardation
2026-04-28,JKM,12.48044,-3.100110000000001,-7.3208600000000015,0.20923000000000158,7.832490000000002,Backwardation
2026-04-28,TTF,33.86041944444445,-7.034240000000004,-20.01029,-0.6270099999999985,20.168870000000002,Backwardation
2026-04-28,THE,35.52994083333334,-5.9142399999999995,-18.815289999999997,-1.1634400000000014,19.940400000000004,Backwardation
2026-04-27,JKM,12.709378611111108,-3.153039999999999,-7.69435,0.09821499999999794,8.152840000000001,Backwardation
2026-04-27,TTF,34.47572777777778,-7.130970000000005,-21.0756,-1.0034649999999985,21.18005,Backwardation
2026-04-27,THE,36.141927777777774,-5.9559699999999935,-19.825599999999998,-1.5668150000000054,20.904970000000002,Backwardation
2026-04-24,TTF,35.120254166666676,-6.961500000000001,-21.491640000000004,-1.0065000000000026,21.689640000000004,Backwardation
2026-04-24,THE,36.834050833333336,-5.801499999999997,-20.281639999999996,-1.5350400000000022,21.4976,Backwardation
2026-04-24,JKM,12.874675277777783,-3.1117500000000007,-7.820639999999999,0.12313500000000133,8.23374,Backwardation
2026-04-23,THE,35.653220555555556,-6.402249999999995,-19.99615,-1.2217350000000025,20.825250000000004,Backwardation
2026-04-23,JKM,12.427206388888887,-3.3694599999999983,-7.738499999999998,0.2748349999999977,7.931079999999998,Backwardation
2026-04-23,TTF,33.92532527777777,-7.6272499999999965,-21.221149999999998,-0.6323750000000032,21.221149999999998,Backwardation
2026-04-22,THE,35.55302194444445,-5.853740000000002,-19.6102,-1.4404749999999993,20.44771,Backwardation
2026-04-22,TTF,33.816199444444436,-7.068740000000005,-20.825200000000002,-0.8564449999999937,20.84024,Backwardation
2026-04-22,JKM,12.396906666666666,-3.179619999999998,-7.608739999999999,0.19821999999999917,7.81434,Backwardation
2026-04-21,THE,34.71626749999999,-5.749949999999998,-18.3931,-1.1740550000000027,19.150859999999998,Backwardation
2026-04-21,TTF,32.95149861111112,-6.929949999999998,-19.548099999999998,-0.5938599999999994,19.548099999999998,Backwardation
2026-04-21,JKM,12.095207499999999,-1.8901700000000012,-5.981540000000001,-0.3594099999999987,7.411470000000001,Backwardation
2026-04-20,JKM,11.709898611111111,-1.5141800000000014,-4.988380000000001,-0.38766999999999996,6.4790399999999995,Backwardation
2026-04-20,TTF,31.739651111111105,-5.811959999999999,-16.63702,-0.6823499999999996,16.63702,Backwardation
2026-04-20,THE,33.50332527777778,-4.706960000000002,-15.557020000000001,-1.226149999999997,16.854509999999998,Backwardation
2026-04-17,JKM,11.604456666666664,-2.7188300000000005,-6.0541599999999995,0.24974500000000077,6.0541599999999995,Backwardation
2026-04-17,THE,33.086869166666666,-4.124600000000001,-14.52262,-1.3976400000000027,16.28046,Backwardation
2026-04-17,TTF,31.30264666666667,-5.174600000000005,-15.57262,-0.8932099999999963,15.892959999999995,Backwardation
2026-04-16,THE,34.86066500000001,-5.448500000000003,-17.567120000000003,-1.622790000000002,18.74658,Backwardation
2026-04-16,JKM,12.210447499999999,-3.1866400000000006,-7.092890000000001,0.18472000000000044,7.185040000000001,Backwardation
2026-04-16,TTF,33.068686388888885,-6.548499999999997,-18.617119999999996,-1.0700000000000003,18.637919999999998,Backwardation
2026-04-15,JKM,11.912917777777777,-3.22828,-6.78054,0.35323999999999955,6.919600000000001,Backwardation
2026-04-15,THE,33.939142499999996,-5.505990000000004,-16.550720000000002,-1.158849999999994,17.414689999999997,Backwardation
