TRADE_DATE,MARKET,LEVEL,SLOPE_1Y,SLOPE_3Y,CURVATURE,RANGE,REGIME,maha
2022-08-22,THE,212.65656111111107,-33.25200000000001,-192.32500000000002,-24.24324999999999,203.06199999999998,Backwardation,10.245051247787872
2021-12-22,THE,76.46628888888888,-34.5,-139.07620000000003,-29.204700000000003,141.3296,Backwardation,8.696987575218877
2022-08-19,THE,189.29698333333334,-17.11959999999999,-166.675,-32.356149999999985,178.35559999999998,Backwardation,8.509705237237815
2021-12-21,THE,76.5095361111111,-53.13680000000001,-153.389,-17.610349999999997,155.50150000000002,Backwardation,8.092914753031039
2022-03-07,THE,97.93639166666662,-106.7026,-168.6683,32.14219999999999,168.6683,Backwardation,7.275459052186997
2022-10-31,THE,106.57380563888889,53.21789700000001,-10.792403000000007,-44.475198500000005,74.4115,Contango,7.031112859964326
2022-08-23,THE,198.46101111111113,-27.118300000000033,-173.3,-27.86839999999998,185.71799999999996,Backwardation,7.013830561670037
2022-08-18,THE,178.16823888888885,-22.453300000000013,-164.39499999999998,-29.64824999999999,176.1386,Backwardation,6.917968514707652
2022-03-07,JKM,79.66562248916665,-109.90337879,-112.11455526,61.70399255000001,112.11455526,Backwardation,9.450319860256087
2022-10-24,JKM,87.9985538602778,72.89750821,25.670722190000006,-56.281209104999995,82.56692341,Contango,8.883121787626946
2022-03-08,JKM,75.66052408305555,-104.99880763000002,-107.54046033,58.766223555,107.54046033,Backwardation,8.868220066096491
2022-10-25,JKM,88.29294048861111,73.84436218,24.710530320000004,-54.211897085000004,83.97676778,Contango,8.764840516295214
2022-08-26,JKM,189.24005501555558,94.94332069999999,-55.98975370000001,-103.84407765,168.61947024,Contango,8.316479393586786
2022-09-14,JKM,114.87594561361112,25.1702157,-68.94428248,-59.549337685,108.57461984000001,Contango,8.045229769807262
2021-12-22,JKM,72.39559291222221,12.304552300000012,-87.34076791000001,-49.03954695500002,104.60155877,Contango,8.015675497643617
2021-12-21,JKM,72.0825924688889,9.69923589999999,-87.53918264,-46.98230871499999,115.57532668,Contango,7.744343529321855
2022-08-22,TTF,209.37295,-34.352000000000004,-192.47500000000002,-23.718249999999983,199.41630000000004,Backwardation,10.734302294601084
2022-08-19,TTF,186.041425,-18.094600000000014,-166.9,-32.11865,174.8099,Backwardation,8.90287020224312
2021-12-22,TTF,75.86034444444444,-34.454499999999996,-138.62199999999999,-29.080700000000007,140.7687,Backwardation,8.681150168468001
2021-12-21,TTF,75.92119722222223,-53.12150000000001,-153.0471,-17.46199999999999,154.97160000000002,Backwardation,8.068049605902797
2022-03-07,TTF,94.25305833333331,-108.7026,-166.8433,34.654700000000005,166.8433,Backwardation,7.4339615590227535
2022-08-18,TTF,175.0026472222222,-23.20829999999998,-164.575,-29.58325000000002,172.1063,Backwardation,7.224093108606499
2022-03-08,TTF,93.7609722222222,-108.0392,-172.8543,30.054100000000005,172.8543,Backwardation,7.175137077593854
2022-08-23,TTF,195.1427305555555,-28.068299999999994,-173.4,-27.518400000000014,182.9093,Backwardation,7.087655771239761
