model,val_recon_mse,curve_z_p95,curve_z_p99,curve_z_max,n_kink_curves,precision_at_topK_events
Conv1d_lat8,0.01203,11.000824546813865,69.49989532470691,235.74295043945312,2007,1.0
Dense_lat6,0.152536,8.862439346313474,18.21079788208007,50.836483001708984,1649,1.0
LSTM_lat8,0.198484,5.462092399597157,16.022242507934568,52.39242172241211,1034,1.0
Transformer_lat8,0.252595,5.669309520721435,16.398740463256832,46.56998062133789,879,1.0
BetaVAE_lat6_b4,0.347393,4.238105773925778,10.169209213256835,25.13125228881836,825,1.0
VAE_lat6,0.350642,4.2251441001892065,10.159880256652832,25.1638126373291,822,1.0
