TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,score_raw_mse,score_curve_z,market_label,EVENT_LABEL
2021-01-20,JKM,72.72390451,24.25028309,18.88544685,17.29099074,16.97209952,17.33113843,17.57822187,18.03709111,18.23015031,19.75913066,20.81765552,21.91077745,22.10259719,19.92855931,16.90797099,15.90193452,15.86949303,15.62610103,15.95124343,17.10208103,16.96649501,17.71378095,18.22980003,19.93788219,19.93788219,18.30872123,16.16806791,15.18469198,14.40590761,14.6568711,14.96185883,16.04131976,15.27412164,15.94685144,16.41143297,17.48650191,1.8806365,27.615346908569336,JKM,JKM cold-snap 2021Q1
2021-01-22,JKM,72.27788513,23.6998623,19.14440063,17.58342326,17.09898201,17.6193078,17.87049956,18.33699854,18.6043919,19.74988525,20.89537859,21.79305439,21.98383159,19.82149364,16.67747259,15.68513124,15.65312973,15.41305146,15.73376282,16.86891927,16.56580205,17.29540968,17.79926607,19.73783447,19.73783447,18.12501198,15.87132914,14.90600831,14.14150699,14.38787844,14.68727331,15.74691156,14.83857751,15.49213134,15.94344635,17.23199581,1.873764,27.512056350708008,JKM,JKM cold-snap 2021Q1
2021-01-19,JKM,72.57973723,22.65595725,18.38830097,17.12978608,16.92003359,17.29678132,17.54337495,18.00133453,18.50662288,20.05879126,21.13336936,21.74762144,21.93803904,19.78019693,16.90088696,15.89525826,15.8628273,15.61951442,15.9445232,17.094908,17.25480393,18.0147802,18.53959167,20.06148039,20.06148039,18.42221096,16.26826809,15.27880109,14.49518733,14.74772394,15.05458107,16.14074934,15.36880642,16.04568844,16.51314067,17.45183681,1.8718172,27.48279571533203,JKM,JKM cold-snap 2021Q1
2021-01-29,JKM,72.5029327,23.37071191,18.7398725,17.40513622,17.24495283,17.16780262,17.66234837,18.15689412,18.75701103,19.70473369,20.77092168,21.95396324,22.1461672,19.96785567,16.65262616,15.6617617,15.62982173,15.39009733,15.7103298,16.84378247,17.18886312,17.94593987,18.46874538,20.04852492,20.04852492,18.4103186,15.60782103,14.65851345,13.90672869,14.17954817,14.47461013,15.51890487,15.44685861,16.12718809,16.59701999,18.11767431,1.8289435,26.838417053222656,JKM,JKM cold-snap 2021Q1
2021-01-12,JKM,75.49169634,36.64775309,21.06175795,18.77327965,18.3466142,18.32240528,18.58362084,19.06873544,19.03141893,20.62760245,21.73265259,22.56172106,22.75924442,20.52062846,16.96427165,15.95488018,15.92232521,15.81671548,16.145823,17.3107133,16.64827172,17.38152104,17.88787528,19.4826143,19.4826143,17.8906573,16.18287201,15.19859896,14.41909858,14.67030956,14.97555592,16.05602263,15.73124864,16.42413192,16.90258573,17.72804293,1.8249811,26.77886390686035,JKM,JKM cold-snap 2021Q1
2021-12-24,JKM,118.6559386,99.49642522,85.37940217,85.2259999,83.00525116,81.462053,89.44155161,88.72815937,89.35237758,88.81962727,92.7315285,95.43312885,113.754521,113.754521,104.4592037,36.74887562,34.59952345,34.35293289,34.52898708,35.23377732,35.93856756,37.44592407,39.33520921,40.48128187,41.27610634,41.27610634,37.90326354,28.79145547,27.10747131,26.91421312,26.74475379,27.29069383,27.83663387,29.27144687,30.5605994,31.45090603,1.7923306,26.288137435913086,JKM,EU pre-invasion spike
2021-12-28,JKM,118.7278194,99.55669937,85.43112434,85.27762914,83.05553509,81.51140207,89.4957346,88.78191019,89.40650655,88.8734335,92.78770454,95.49094149,113.8234326,113.8234326,104.5224843,36.77113781,34.62048357,34.37374363,34.54990447,35.25512167,35.96033886,37.46860851,39.35903817,40.50580511,41.30111108,41.30111108,37.92622504,28.80889711,27.1238928,26.93051754,26.76095555,27.30722632,27.85349708,29.28917929,30.57911277,31.46995874,1.7923295,26.28812026977539,JKM,EU pre-invasion spike
2021-12-27,JKM,118.5596485,99.41568321,85.31011621,85.15683843,82.93789184,81.395946,89.36896919,88.65615588,89.27986753,88.74754955,92.65627625,95.35568423,113.6622085,113.6622085,104.3744343,36.71905367,34.57144571,34.32505526,34.50096658,35.20518488,35.90940318,37.41553645,39.30328843,40.44843104,41.2426105,41.2426105,37.87250479,28.76809102,27.08547341,26.89237206,26.72305025,27.26854725,27.81404426,29.2476929,30.53579927,31.42538341,1.7923295,26.28812026977539,JKM,EU pre-invasion spike
2021-01-28,JKM,72.54840728,23.7885663,19.21040968,17.94921247,17.67503916,17.64923461,18.00942308,18.36961154,18.76877562,19.7170927,20.78394942,21.96773299,22.1600575,19.98037971,16.73728581,15.7413916,15.70927031,15.46834724,15.7902052,16.92942217,17.06261126,17.81411491,18.3330551,20.09426915,20.09426915,18.45232048,15.57436092,14.62709214,13.87690559,14.14914356,14.44355731,15.48563091,15.60744987,16.29487224,16.76956838,18.00614375,1.7901213,26.254932403564453,JKM,JKM cold-snap 2021Q1
2021-12-21,JKM,118.9537607,142.2891874,135.9652236,125.6341662,118.3860412,118.3860412,120.8906184,119.9265013,120.7701756,119.7373573,125.0109683,128.6529966,124.7312766,124.7312766,114.539059,40.29486062,37.93832171,37.66782853,37.86099688,38.63367029,39.40634369,41.05919789,43.13115842,44.38761507,41.22850765,41.22850765,37.85955962,28.75822577,27.07605138,26.88317048,26.71386072,27.25915888,27.80445704,29.23740976,30.52519877,31.41457806,1.1345142,16.40135955810547,JKM,EU pre-invasion spike
2021-12-22,JKM,118.2945325,130.9238217,130.596798,127.6821707,123.0921187,122.422349,124.4353743,123.4428688,124.3113111,121.5487613,126.902345,130.5990848,125.9595791,125.9595791,115.6671944,40.69186701,38.31179771,38.03880153,38.23375796,39.01415542,39.79455287,41.4634028,43.55589707,44.82454319,40.62383236,40.62383236,37.30442752,28.33643159,26.67901605,26.48891924,26.32226293,26.85939363,27.39652433,28.8086721,30.07760408,30.95376459,1.1333833,16.384361267089844,JKM,EU pre-invasion spike
