TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,score_raw_mse,score_curve_z,market_label,EVENT_LABEL
2021-12-24,JKM,118.6559386,99.49642522,85.37940217,85.2259999,83.00525116,81.462053,89.44155161,88.72815937,89.35237758,88.81962727,92.7315285,95.43312885,113.754521,113.754521,104.4592037,36.74887562,34.59952345,34.35293289,34.52898708,35.23377732,35.93856756,37.44592407,39.33520921,40.48128187,41.27610634,41.27610634,37.90326354,28.79145547,27.10747131,26.91421312,26.74475379,27.29069383,27.83663387,29.27144687,30.5605994,31.45090603,15.597242,16.173368453979492,JKM,EU pre-invasion spike
2021-12-28,JKM,118.7278194,99.55669937,85.43112434,85.27762914,83.05553509,81.51140207,89.4957346,88.78191019,89.40650655,88.8734335,92.78770454,95.49094149,113.8234326,113.8234326,104.5224843,36.77113781,34.62048357,34.37374363,34.54990447,35.25512167,35.96033886,37.46860851,39.35903817,40.50580511,41.30111108,41.30111108,37.92622504,28.80889711,27.1238928,26.93051754,26.76095555,27.30722632,27.85349708,29.28917929,30.57911277,31.46995874,15.597238,16.173362731933594,JKM,EU pre-invasion spike
2021-12-27,JKM,118.5596485,99.41568321,85.31011621,85.15683843,82.93789184,81.395946,89.36896919,88.65615588,89.27986753,88.74754955,92.65627625,95.35568423,113.6622085,113.6622085,104.3744343,36.71905367,34.57144571,34.32505526,34.50096658,35.20518488,35.90940318,37.41553645,39.30328843,40.44843104,41.2426105,41.2426105,37.87250479,28.76809102,27.08547341,26.89237206,26.72305025,27.26854725,27.81404426,29.2476929,30.53579927,31.42538341,15.597238,16.173362731933594,JKM,EU pre-invasion spike
2022-03-02,JKM,151.9830224,150.3096527,150.2241312,152.2549806,151.7985812,152.2549806,142.2997135,148.1676254,149.6346034,141.1999077,141.1999077,113.4878215,64.12255908,60.37244343,59.94198545,57.02171295,57.59784246,58.1736869,57.97413685,58.86612559,61.54180674,58.48755063,58.48755063,51.73905288,41.91719923,39.46558429,39.18421871,39.78714494,40.18909577,40.59104659,40.38722046,41.02606571,42.22137053,40.9981287,40.9981287,37.64825344,14.477927,14.92475414276123,JKM,Russian invasion shock
2021-12-29,JKM,118.307297,94.06690886,87.98830041,83.3440057,82.87028478,83.72795693,84.73429226,84.0584466,84.6496686,84.15822246,87.86479562,90.42466111,90.33289019,90.33289019,82.95176363,34.1027602,32.10810066,31.87938808,32.04291757,32.69674964,33.35058172,48.94306148,51.4125855,52.91036698,40.74085678,40.74085678,37.41194526,28.41810916,26.75622641,26.56525141,26.39829123,26.93690935,27.47552746,28.89183008,30.16432966,31.04315773,11.419487,11.513012886047363,JKM,EU pre-invasion spike
2021-12-20,JKM,118.802525,132.8772739,111.4203586,96.30778855,88.99222637,87.54846363,89.77080751,89.05481143,89.68152332,89.06744328,92.99020608,95.69945027,90.23761169,90.23761169,82.86405785,42.50731493,40.02142478,39.73605986,38.30119683,39.08293593,39.86467504,39.64390479,41.64433009,42.85756161,41.96931307,41.96931307,38.53976649,29.27488058,27.56269108,27.36632327,27.19407081,27.74901083,28.30395086,29.76292923,31.07377049,31.97895719,10.474571,10.458943367004395,JKM,EU pre-invasion spike
2022-01-06,JKM,88.92429134,86.09440097,79.38176731,78.61858821,79.63244658,80.83292172,80.83292172,81.07552355,81.93925288,83.48817221,85.92031814,86.54423098,86.54423098,79.47256891,41.22643342,38.81545595,38.53859463,39.13159036,39.526828,39.92206564,40.32565926,42.3603393,43.59451688,43.34244495,43.34244495,38.34139361,28.43371345,26.77059579,26.57980102,26.71628195,27.26137009,27.80673676,28.03401929,29.26875394,30.12134197,31.42376002,9.652721,9.542157173156738,JKM,EU pre-invasion spike
2022-01-05,JKM,89.02561013,84.56122368,78.07796416,77.85488426,78.44046899,79.25359522,79.25359522,79.49145416,78.7324248,82.20020181,84.59468566,85.27954095,85.27954095,78.31108265,40.62396475,38.24816384,37.97544867,38.55963915,38.94919242,39.33874569,39.73638561,41.74131619,42.95738048,42.90969715,42.90969715,37.95871767,28.14961573,26.50328608,26.31450472,26.44946806,26.98932141,27.52889591,27.75420661,28.97668445,29.82076301,31.39236089,9.493805,9.364882469177246,JKM,EU pre-invasion spike
2021-12-17,JKM,118.9387954,121.4853077,99.3277764,84.47494152,76.87248133,76.86558333,78.98844337,78.35842587,78.90969118,78.24805785,81.69447198,84.07428259,82.27505379,82.27505379,75.55208882,38.75642291,36.4898545,36.22974235,34.92142135,35.63421486,36.34700838,36.14552924,37.96947588,39.07574291,40.84508036,40.84508036,37.50759718,28.4907592,26.82431694,26.63318481,26.46562085,27.00567691,27.54573296,28.96557166,30.24141457,31.12234688,9.185338,9.020782470703125,JKM,EU pre-invasion spike
2022-01-04,JKM,82.12356513,78.83090141,73.60795904,73.30023346,73.43731122,74.31125187,74.31125187,74.53449279,74.54624231,77.82967427,80.09677255,80.15803791,80.15803791,73.60823879,38.41869957,36.17174333,35.91381334,36.46632063,36.83475208,37.20318352,38.0373996,39.95676798,41.12080992,40.27120757,40.27120757,35.62455129,27.2379102,25.64501069,25.46205385,25.59269734,26.11499158,26.63728582,28.01030141,29.24400124,30.0958416,29.76489672,9.124272,8.95266342163086,JKM,EU pre-invasion spike
2021-12-16,JKM,118.6283812,126.9933132,97.03665125,80.82766049,73.70026829,72.94203508,74.69930146,74.10360823,74.62505481,74.80364811,78.09802092,80.3732939,79.83235398,79.83235398,73.30925502,37.60578736,35.40648104,35.15421441,33.88485462,34.57629451,35.2677344,35.07251443,36.84239415,37.91567398,40.36122692,40.36122692,37.06312744,28.15324219,26.50662912,26.31771582,26.15202251,26.68579576,27.21956901,28.62251545,29.88327525,30.75359511,8.84203,8.637816429138184,JKM,EU pre-invasion spike
2022-03-01,JKM,112.7044298,110.9495314,111.7941654,111.8087183,111.4737181,111.8087183,107.9228309,112.3731393,113.4857163,111.7890291,111.7890291,89.8490889,57.5110186,54.1476059,53.76152824,53.58632374,54.12763144,54.66893915,54.81446731,55.65767462,58.18758189,56.23208285,56.23208285,49.74380949,40.3007437,37.94375813,37.67324695,38.25279147,38.63915448,39.02551749,38.82976784,39.44383962,40.59294143,40.80752413,40.80752413,37.47293172,8.79646,8.586982727050781,JKM,Russian invasion shock
2021-12-14,JKM,110.9726723,120.9501635,108.6756959,74.36461092,71.06270735,69.91421915,70.41208878,69.85047805,70.34174388,70.57201576,73.68039908,75.8266364,76.36412888,76.36412888,70.12439249,35.97208602,33.86834276,33.62687312,32.41263397,33.07416317,33.73569237,33.54877592,35.24164752,36.26839598,38.45798873,38.45798873,35.31543789,27.45231343,25.84672693,25.66239457,25.50419033,26.0247426,26.54529488,27.45403617,28.66310712,29.49834516,8.632524,8.404109001159668,JKM,EU pre-invasion spike
2022-01-07,JKM,86.44959237,78.70390842,72.05287391,71.63718425,72.49627621,73.84948461,73.84948461,74.07146288,74.91254162,76.32865772,78.55204313,79.38065118,79.38065118,72.89422977,38.77802536,36.51002259,36.24980086,36.80737926,37.17928294,37.55118662,37.44421581,39.33366387,40.47958169,41.49525008,41.49525008,36.70733661,28.17017956,26.52266289,26.33366265,26.46862323,27.00874266,27.54886209,27.75393565,28.97634037,29.8204675,31.16508498,8.43805,8.18717098236084,JKM,EU pre-invasion spike
2021-12-15,JKM,118.8352398,122.476511,97.95249217,74.4614112,68.02285117,67.46316367,68.83869119,68.28962885,68.7700584,68.56617018,71.58630023,73.67170334,75.78094126,75.78094126,69.58877008,35.69738009,33.60967966,33.36989563,32.16523218,32.82140762,33.47787023,33.29264784,34.97257185,35.99143858,38.6132687,38.6132687,35.4581704,27.56310189,25.95123634,25.76601395,25.60721088,26.12985391,26.65249693,27.56482489,28.77896484,29.61749101,8.330644,8.067357063293457,JKM,EU pre-invasion spike
2021-12-30,JKM,118.625158,89.43755571,79.69115541,73.95797876,73.52799051,73.81464934,74.32375543,73.73094496,74.24951079,74.87041382,78.16813703,80.44506814,80.62594986,80.62594986,74.03766991,38.34491872,36.10238667,35.84496704,36.02871535,36.76399525,37.49927516,42.26383161,44.39657333,45.68997798,35.92207826,35.92207826,32.98697848,27.88932446,26.25823571,26.07104749,25.90707864,26.43567752,26.96427641,32.15423457,33.57061586,34.54840914,8.268833,7.998406410217285,JKM,EU pre-invasion spike
2022-01-10,JKM,86.67247891,75.01705179,70.8494378,70.12149456,71.01614236,72.58288738,72.58288738,72.80071467,73.50254087,74.89174553,77.07363037,78.16082194,78.16082194,71.77409242,38.53903791,36.28491443,36.02624452,36.58053718,36.95006562,37.31959406,37.89416911,39.80627041,40.96597846,41.39552054,41.39552054,36.61915707,28.10249896,26.45879201,26.27041585,26.40489087,26.94390228,27.48291368,27.68740461,28.90684846,29.74898433,31.21209468,8.085814,7.794246196746826,JKM,EU pre-invasion spike
