TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,score_raw_mse,score_curve_z,market_label,EVENT_LABEL
2021-12-28,JKM,118.7278194,99.55669937,85.43112434,85.27762914,83.05553509,81.51140207,89.4957346,88.78191019,89.40650655,88.8734335,92.78770454,95.49094149,113.8234326,113.8234326,104.5224843,36.77113781,34.62048357,34.37374363,34.54990447,35.25512167,35.96033886,37.46860851,39.35903817,40.50580511,41.30111108,41.30111108,37.92622504,28.80889711,27.1238928,26.93051754,26.76095555,27.30722632,27.85349708,29.28917929,30.57911277,31.46995874,9.623269,20.954307556152344,JKM,EU pre-invasion spike
2022-03-02,JKM,151.9830224,150.3096527,150.2241312,152.2549806,151.7985812,152.2549806,142.2997135,148.1676254,149.6346034,141.1999077,141.1999077,113.4878215,64.12255908,60.37244343,59.94198545,57.02171295,57.59784246,58.1736869,57.97413685,58.86612559,61.54180674,58.48755063,58.48755063,51.73905288,41.91719923,39.46558429,39.18421871,39.78714494,40.18909577,40.59104659,40.38722046,41.02606571,42.22137053,40.9981287,40.9981287,37.64825344,7.5384903,16.075685501098633,JKM,Russian invasion shock
2021-12-29,JKM,118.307297,94.06690886,87.98830041,83.3440057,82.87028478,83.72795693,84.73429226,84.0584466,84.6496686,84.15822246,87.86479562,90.42466111,90.33289019,90.33289019,82.95176363,34.1027602,32.10810066,31.87938808,32.04291757,32.69674964,33.35058172,48.94306148,51.4125855,52.91036698,40.74085678,40.74085678,37.41194526,28.41810916,26.75622641,26.56525141,26.39829123,26.93690935,27.47552746,28.89183008,30.16432966,31.04315773,6.4074264,13.428866386413574,JKM,EU pre-invasion spike
2022-01-06,JKM,88.92429134,86.09440097,79.38176731,78.61858821,79.63244658,80.83292172,80.83292172,81.07552355,81.93925288,83.48817221,85.92031814,86.54423098,86.54423098,79.47256891,41.22643342,38.81545595,38.53859463,39.13159036,39.526828,39.92206564,40.32565926,42.3603393,43.59451688,43.34244495,43.34244495,38.34139361,28.43371345,26.77059579,26.57980102,26.71628195,27.26137009,27.80673676,28.03401929,29.26875394,30.12134197,31.42376002,5.0312343,10.208419799804688,JKM,EU pre-invasion spike
2022-01-05,JKM,89.02561013,84.56122368,78.07796416,77.85488426,78.44046899,79.25359522,79.25359522,79.49145416,78.7324248,82.20020181,84.59468566,85.27954095,85.27954095,78.31108265,40.62396475,38.24816384,37.97544867,38.55963915,38.94919242,39.33874569,39.73638561,41.74131619,42.95738048,42.90969715,42.90969715,37.95871767,28.14961573,26.50328608,26.31450472,26.44946806,26.98932141,27.52889591,27.75420661,28.97668445,29.82076301,31.39236089,4.9543476,10.028495788574219,JKM,EU pre-invasion spike
2022-01-04,JKM,82.12356513,78.83090141,73.60795904,73.30023346,73.43731122,74.31125187,74.31125187,74.53449279,74.54624231,77.82967427,80.09677255,80.15803791,80.15803791,73.60823879,38.41869957,36.17174333,35.91381334,36.46632063,36.83475208,37.20318352,38.0373996,39.95676798,41.12080992,40.27120757,40.27120757,35.62455129,27.2379102,25.64501069,25.46205385,25.59269734,26.11499158,26.63728582,28.01030141,29.24400124,30.0958416,29.76489672,4.8538117,9.793230056762695,JKM,EU pre-invasion spike
2021-12-20,JKM,118.802525,132.8772739,111.4203586,96.30778855,88.99222637,87.54846363,89.77080751,89.05481143,89.68152332,89.06744328,92.99020608,95.69945027,90.23761169,90.23761169,82.86405785,42.50731493,40.02142478,39.73605986,38.30119683,39.08293593,39.86467504,39.64390479,41.64433009,42.85756161,41.96931307,41.96931307,38.53976649,29.27488058,27.56269108,27.36632327,27.19407081,27.74901083,28.30395086,29.76292923,31.07377049,31.97895719,4.648616,9.313048362731934,JKM,EU pre-invasion spike
2022-01-07,JKM,86.44959237,78.70390842,72.05287391,71.63718425,72.49627621,73.84948461,73.84948461,74.07146288,74.91254162,76.32865772,78.55204313,79.38065118,79.38065118,72.89422977,38.77802536,36.51002259,36.24980086,36.80737926,37.17928294,37.55118662,37.44421581,39.33366387,40.47958169,41.49525008,41.49525008,36.70733661,28.17017956,26.52266289,26.33366265,26.46862323,27.00874266,27.54886209,27.75393565,28.97634037,29.8204675,31.16508498,4.4537177,8.856964111328125,JKM,EU pre-invasion spike
2022-01-25,JKM,78.07655367,74.49167665,76.83875124,75.27403485,76.08433441,76.44757214,76.14189362,76.75325066,77.27100414,79.66082901,82.05065388,81.72346051,81.72346051,75.04547449,40.57812541,38.20478594,37.93235764,38.51605274,38.90499653,39.29421973,39.45795612,41.44905773,42.65640407,42.71731624,42.71731624,37.78845962,30.35689501,28.58150074,28.37752878,28.52310329,29.10540131,29.68741993,30.32727717,31.66315378,32.58549821,32.69949898,4.410636,8.756148338317871,JKM,EU pre-invasion spike
2021-01-14,JKM,87.13869544,26.14160863,18.51013575,17.07006826,17.10519186,17.11403978,17.35802813,17.81114935,18.1402655,19.66170712,20.71501286,21.61130807,21.8005197,19.65621068,16.72424829,15.7291512,15.69703054,15.45628643,15.77789525,16.91624835,16.98936442,17.73765791,18.25437697,19.83957731,19.83957731,18.21844902,16.08835031,15.10982298,14.33487845,14.58460455,14.88808851,15.9622271,15.19881169,15.86822456,16.33051545,17.69521467,4.405211,8.743453025817871,JKM,JKM cold-snap 2021Q1
2022-01-24,JKM,77.83645466,73.92555095,74.00076063,73.32944454,74.45758984,74.1408735,74.4389267,74.96038053,75.65537374,77.99523066,80.33508758,79.97018132,79.97018132,73.43557377,39.63327646,37.31542534,37.04940589,37.61932818,37.99927638,38.37922457,38.3998376,40.33774053,41.51268297,43.37203355,43.37203355,38.36780384,29.9170206,28.16714189,27.96658273,28.11003824,28.68358174,29.25712524,28.70976585,29.97412425,30.84739228,32.36439952,4.3941607,8.717594146728516,JKM,EU pre-invasion spike
2022-01-10,JKM,86.67247891,75.01705179,70.8494378,70.12149456,71.01614236,72.58288738,72.58288738,72.80071467,73.50254087,74.89174553,77.07363037,78.16082194,78.16082194,71.77409242,38.53903791,36.28491443,36.02624452,36.58053718,36.95006562,37.31959406,37.89416911,39.80627041,40.96597846,41.39552054,41.39552054,36.61915707,28.10249896,26.45879201,26.27041585,26.40489087,26.94390228,27.48291368,27.68740461,28.90684846,29.74898433,31.21209468,4.314842,8.53197956085205,JKM,EU pre-invasion spike
2021-01-13,JKM,87.01666428,27.4437172,18.87324512,17.30640968,17.23518989,17.41872811,17.66706029,18.12824861,18.30161258,19.83658653,20.89926081,21.86123673,22.05264662,19.88352198,16.74762882,15.75114076,15.71898475,15.47788166,15.79995041,16.93989549,16.35937385,17.07992538,17.57750006,19.81179348,19.81179348,18.19293546,16.06581979,15.08866281,14.31480354,14.56417991,14.86723887,15.93987321,15.17752691,15.84600231,16.30764579,17.59680437,4.2996464,8.496419906616211,JKM,JKM cold-snap 2021Q1
2022-01-26,JKM,77.93553595,80.46524039,79.40538627,77.84349599,78.65233203,78.73042654,78.41553831,79.04531478,79.13345002,81.58087631,84.0283026,83.6682311,83.6682311,76.83161422,42.01791657,39.56044956,39.27847258,39.88286834,40.2856129,40.68863638,40.74860181,42.80499771,44.05199975,43.81687948,43.81687948,38.76109642,31.13823512,29.3172384,29.10805667,29.25727297,29.85441709,30.45156122,31.10811295,32.47811386,33.42417311,33.34468405,4.2344255,8.343795776367188,JKM,EU pre-invasion spike
2022-03-01,JKM,112.7044298,110.9495314,111.7941654,111.8087183,111.4737181,111.8087183,107.9228309,112.3731393,113.4857163,111.7890291,111.7890291,89.8490889,57.5110186,54.1476059,53.76152824,53.58632374,54.12763144,54.66893915,54.81446731,55.65767462,58.18758189,56.23208285,56.23208285,49.74380949,40.3007437,37.94375813,37.67324695,38.25279147,38.63915448,39.02551749,38.82976784,39.44383962,40.59294143,40.80752413,40.80752413,37.47293172,4.16068,8.171221733093262,JKM,Russian invasion shock
